Age,Monthly_Income,Debt_to_Income,Credit_Score,Loan_Amount,Employment_Years,Dependants,Prior_Defaults,Collateral_Value,Credit_Accounts,Utility_Latency,App_Session_Time,Social_Sentiment,Mobile_Data_Use,Ecommerce_Freq,Savings_Score,Community_Score,Night_Activity,Contact_Diversity,Bill_Consistency,Loan_Status
41,5281.26,0.3396,719,9787.29,1.15,0,0,31589.09,7,0.52,77.46,0.0859,7.85,12,95.29,64.82,0.0395,252,0.867,1
57,4634.38,0.0871,816,21071.93,1.43,1,0,24855.2,7,0.31,57.52,0.2489,15.74,14,31.6,67.98,0.0199,254,0.7449,1
42,11247.3,0.1342,787,42899.06,14.11,2,0,72176.67,12,1.41,64.97,0.3174,38.4,11,27.85,74.96,0.2343,260,0.9277,1
24,6415.79,0.48,401,42229.35,4.97,7,1,42255.57,4,39.29,45.18,-0.2294,13.67,1,33.28,28.29,0.6451,52,0.038,0
33,1772.2,0.4293,532,20201.8,1.08,2,0,27727.1,3,12.66,33.88,0.0415,3.33,3,33.22,14.89,0.7328,54,0.167,0
36,4825.73,0.2852,670,30448.83,9.29,0,0,78961.9,8,3.77,72.81,0.5029,31.49,9,68.7,50.19,0.2279,234,0.66,1
38,1592.94,0.8528,411,19685.1,0.15,2,2,22690.32,2,15.09,0.0,-0.1141,1.7,2,0.0,45.76,0.4889,51,0.2603,0
43,6185.46,0.1198,662,44556.93,0.44,2,0,85936.41,9,0.65,97.46,0.5442,18.44,21,77.51,82.67,0.1901,244,0.9178,1
57,4648.07,0.5938,596,28578.13,3.86,2,0,54487.58,11,2.76,64.58,0.6418,3.48,6,68.36,82.48,0.1436,250,0.8948,1
53,6836.87,0.05,734,54563.83,1.68,0,0,126349.91,5,3.22,90.38,-0.19,11.03,12,86.42,93.95,0.5171,273,0.9679,1
48,5583.59,0.05,743,20810.42,7.15,2,0,32581.86,5,2.12,87.7,0.056,31.86,12,60.98,89.39,0.2198,257,0.5959,1
33,4121.87,0.4263,719,19137.28,11.92,0,0,22360.34,4,1.04,81.21,0.4252,12.34,13,51.2,73.9,0.2578,262,0.5831,1
47,2238.35,0.2982,800,32099.85,14.73,0,0,78427.66,11,1.07,82.31,0.1638,12.04,12,50.9,79.12,0.0919,252,0.8102,1
28,1550.24,0.3895,451,24141.31,1.93,4,2,32050.48,1,12.89,30.56,-0.6126,7.23,2,8.78,45.98,0.8789,57,0.2972,0
32,6480.75,0.6941,649,20733.91,0.37,0,2,35963.5,1,10.91,38.06,-0.6184,2.95,2,0.0,36.93,0.4904,75,0.1495,0
49,22072.31,0.2406,765,19254.1,16.09,2,0,47918.91,6,0.99,98.15,0.2767,39.19,11,47.76,70.19,0.1176,273,0.7674,1
26,9484.95,0.1843,639,22579.46,20.19,1,0,66368.66,9,4.38,118.57,1.0,6.73,15,75.08,63.54,0.5057,275,0.5437,1
52,9769.9,0.1457,702,22696.85,3.37,1,0,27538.66,11,0.16,79.52,0.673,4.04,14,67.49,74.65,0.1971,244,0.6059,1
43,17320.05,0.0663,739,26278.85,11.36,0,0,131394.24,7,2.12,88.4,0.413,43.1,16,75.65,72.48,0.3217,273,0.8045,1
19,1092.55,0.5837,358,22261.98,1.24,3,0,13336.77,3,3.6,15.52,0.0961,1.6,1,2.4,22.7,0.7551,54,0.0087,0
